id,city,state,date,temperature_max,temperature_min,temperature_mean,precipitation,rain,wind_speed_max,wind_gusts_max,cloud_cover,humidity,latitude,longitude,sunrise,sunset
999,Test City,TC,2025-01-01,80.0,60.0,70.0,0.1,0.0,10.0,15.0,25,65,40.0,-110.0,1640001600,1640038800
,Denver,CO,2025-07-11,85.5999984741211,59.79999923706055,72.30000305175781,0.019999999552965164,0.019999999552965164,15.5,38.70000076293945,36,47,39.75395202636719,-105.02085876464844,0,0
,Denver,CO,2025-07-12,81.69999694824219,62.29999923706055,72.5,0.019999999552965164,0.019999999552965164,4.599999904632568,16.799999237060547,54,54,39.75395202636719,-105.02085876464844,0,0
,Denver,CO,2025-07-13,93.19999694824219,60.400001525878906,77.4000015258789,0.009999999776482582,0.009999999776482582,9.800000190734863,23.5,43,43,39.75395202636719,-105.02085876464844,0,0
,Denver,CO,2025-07-14,93.5999984741211,63.5,79.0999984741211,0.0,0.0,14.300000190734863,37.79999923706055,78,35,39.75395202636719,-105.02085876464844,0,0
,Denver,CO,2025-07-15,96.4000015258789,63.20000076293945,81.30000305175781,0.0,0.0,9.699999809265137,27.299999237060547,30,27,39.75395202636719,-105.02085876464844,0,0
,Denver,CO,2025-07-16,78.4000015258789,62.099998474121094,70.5,0.49000000953674316,0.49000000953674316,14.600000381469727,34.900001525878906,68,60,39.75395202636719,-105.02085876464844,0,0
,Phoenix,AZ,2025-07-13,108.9000015258789,85.0,98.19999694824219,0.0,0.0,8.300000190734863,18.799999237060547,13,20,33.42706298828125,-112.02719116210938,0,0
,Phoenix,AZ,2025-07-14,107.9000015258789,87.19999694824219,98.0,0.0,0.0,10.0,22.799999237060547,16,18,33.42706298828125,-112.02719116210938,0,0
,Phoenix,AZ,2025-07-15,105.69999694824219,85.69999694824219,95.80000305175781,0.0,0.0,9.899999618530273,35.599998474121094,36,26,33.42706298828125,-112.02719116210938,0,0
,Phoenix,AZ,2025-07-16,96.5999984741211,78.30000305175781,89.0,0.0,0.0,8.399999618530273,23.0,76,41,33.42706298828125,-112.02719116210938,0,0
